id,ms,date,puzzle,scramble,plus2,dnf
QBG5CHngk,27560,2020-11-10T16:11:15.325Z,3x3x3,"D2 F2 L2 F' L2 B L2 B D2 B' D' F U L' R' B2 U' B R' B",,
4vVeB1ZYN,23344,2020-11-10T16:11:56.912Z,3x3x3,"B' D2 B' L2 U2 B2 L2 F' U2 B' D' F L2 D2 F' R' F' L' R2 D'",,
wNpPYV4aB,21196,2020-11-10T16:13:33.666Z,3x3x3,"R2 D F2 R2 D' L2 D' R2 U2 B2 F L' F2 D B' D' L' F' L F2 U2",,
z_s2c5ptU,20831,2020-11-10T16:52:40.995Z,3x3x3,"F2 L2 D U2 F2 L2 B2 L2 U' F2 L2 R' B' F2 U F2 D' B2 R U' L'",,
ptxyLLw2F,21220,2020-11-10T16:53:40.807Z,3x3x3,"F2 U2 L2 D' L2 D R2 U2 L2 B2 R' B F L D2 B' U F L2 R2",,
F2phemt90,23987,2020-11-10T16:54:34.432Z,3x3x3,"L2 R2 D2 B' U2 R2 F2 L2 F U2 B2 U B D2 L2 F2 R U B U' F2",,
KTxQoM8pX,21369,2020-11-10T16:55:31.768Z,3x3x3,"D L2 U L2 R2 F2 U' R2 U2 B2 U2 L' U' R U L' F D L' R",,
QNIv9RKfN,23156,2020-11-10T16:56:26.600Z,3x3x3,"D' U2 L2 B2 D' F2 U' B2 U F2 L2 B' L B2 L' B2 U L' F R U",,
iYdlFrPDc,18972,2020-11-10T16:57:21.383Z,3x3x3,"D' B2 U' F2 L2 D' B2 L2 U B2 U2 F' U2 F L' F U2 L2 B R' U",,
rzdpJeCeG,22211,2020-11-10T16:58:39.029Z,3x3x3,"L U2 R' D2 L' F2 R F2 R B2 L2 U' L' B' D2 L D B2 L' U' F",,
C1cc2_ZP_,20151,2020-11-10T16:59:28.929Z,3x3x3,"D2 L' B2 L D2 L D2 F2 D2 R F' U2 L B2 F' L D R' U' F'",,
TTDyTYNIm,20423,2020-11-10T17:00:17.390Z,3x3x3,"F U2 B' R2 U2 B R2 U2 L2 D2 B' R B U2 F' U F D' U2 R F",,
hWfKVKbOv,20596,2020-11-10T17:01:57.296Z,3x3x3,"B D R' F' L2 B' R' U' R' U2 F R2 D2 L2 U2 F2 D2 F' U2 F'",,
iIvfpMV_e,24940,2020-11-10T17:03:47.575Z,3x3x3,"B' L2 F U2 F2 L2 D2 L2 U2 F' D2 U L' D' R' D B2 L2 B D' R",,
XO7-sdmU0,23166,2020-11-10T17:04:32.100Z,3x3x3,"F2 U2 R2 F2 L2 U2 R F2 U2 F2 U2 F L U F2 R' F2 L2 R' D B'",,
CceU39lRr,21163,2020-11-10T17:05:36.599Z,3x3x3,"B2 R2 B' D2 F D2 U2 F' L2 F2 R2 D' R F2 U L F' R2 U' B2 F2",,
VaaToIjUE,28270,2020-11-10T17:07:32.649Z,3x3x3,"U2 B2 L D2 L D2 R U2 R D2 L' F R' B' D' R' B2 D B' U F'",,
SBo3SfU-f,23676,2020-11-10T17:08:16.958Z,3x3x3,"U2 F' R2 D2 B' U2 B2 F' L2 U2 F2 D R' B2 D' L D F2 D L'",,
EzlP5bqvD,23500,2020-11-10T17:10:40.871Z,3x3x3,"F2 U2 L' B2 U2 L U2 L2 F2 R' F2 U F' R' U' B2 D B' R D2",,
ooBK-R6vf,20440,2020-11-10T17:11:21.496Z,3x3x3,"R2 U B2 U' R2 F2 R2 U2 F2 D R2 F R' D2 L F' D' L2 B2 R2 F",,
ijk6Y7t9L,24679,2020-11-10T17:12:18.446Z,3x3x3,"U' L2 D2 B2 U' L2 B2 R2 D2 U' B2 L' U2 L D F' D2 L' R D U'",,
11_jSd5ON,24375,2020-11-10T17:13:04.327Z,3x3x3,"D2 L2 R2 F2 U' B2 D' L2 U2 B2 U F U2 B2 U' L' D' B2 R2 D2 R'",,
JZ9fdr003,17781,2020-11-10T17:13:45.092Z,3x3x3,"U' R2 D' U2 R2 B2 D2 U' R2 F2 U' L R D' B2 R' F' U L' U'",,
NpyedrK-U,20560,2020-11-10T17:14:32.301Z,3x3x3,"B D2 B U2 R2 B' F2 R2 F' U' B2 R D2 L' F R' U2 L' B'",,
OcLa8OI08,22633,2020-11-10T17:15:39.310Z,3x3x3,"F2 R2 F2 D' B2 D B2 U' R2 F2 D B' U2 L' D U F' L2 R' B' D",,
qvPykYXrk,23468,2020-11-10T17:16:39.957Z,3x3x3,"B R U' R2 D B R' B2 L' U' L2 F2 L2 D' L2 D' R2 U' L2 U'",,
anfsZIX1g,18971,2020-11-10T17:17:25.479Z,3x3x3,"D2 R2 F L2 B2 L2 F' R2 D2 U2 L2 R' U2 B D2 U F2 R' F D2 R2",,
rzln7GwCQ,22268,2020-11-10T17:22:22.604Z,3x3x3,"B2 F2 U2 R2 B2 L2 B2 R' D2 L R U' L2 B L D2 L2 F D B",,
yKohvMozz,20881,2020-11-10T17:23:11.430Z,3x3x3,"L2 D F2 U' R2 D' L2 B2 D2 L2 R2 F D' L2 R D' F D' R' F U'",,
h9av99N-9,23193,2020-11-10T17:24:57.223Z,3x3x3,"U2 D R F2 L' U' B U F U' F B2 U2 L2 B R2 F' R2 U2 R2",,
DPmPH92iH,23841,2020-11-10T21:25:00.899Z,3x3x3,"U D' L' F U2 D B' U B' R' U2 F2 L2 F2 R2 D' R2 F2 U B2 U",,
F0OCMw9-p,22151,2020-11-10T21:25:46.146Z,3x3x3,"U2 L F2 L' B2 R' U2 R' F2 L' F2 U B2 L' B' U2 B L B' D' F",,
9HvrsFr7A,22216,2020-11-10T21:27:51.720Z,3x3x3,"D2 B2 F D2 R2 F D2 L2 B2 R2 U2 L' U' R' U2 R' F' U' B' U2 B'",,
